sensor_combination,count,percentage
IMU;Stereo_Camera;LiDAR_3D,37,12.7%
IMU;Monocular_Camera,19,6.5%
IMU;Stereo_Camera;LiDAR_3D;UWB,17,5.8%
IMU;Monocular_Camera;LiDAR_3D,15,5.2%
IMU;Monocular_Camera;LiDAR_3D;UWB,10,3.4%
IMU;Stereo_Camera,10,3.4%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave,9,3.1%
IMU;Monocular_Camera;UWB,9,3.1%
IMU;Stereo_Camera;LiDAR_2D,7,2.4%
IMU;Thermal_Camera;LiDAR_3D,6,2.1%
IMU;Monocular_Camera;LiDAR_2D,6,2.1%
IMU;Stereo_Camera;LiDAR_3D;Optical_Flow,6,2.1%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave,6,2.1%
IMU;Thermal_Camera,5,1.7%
IMU;Stereo_Camera;LiDAR_3D;Sonar,5,1.7%
IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave,5,1.7%
IMU;Stereo_Camera;UWB;Optical_Flow,4,1.4%
IMU;Stereo_Camera;LiDAR_2D;Sonar,4,1.4%
IMU,4,1.4%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;UWB,4,1.4%
IMU;Stereo_Camera;LiDAR_3D;UWB;Optical_Flow,4,1.4%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;Optical_Flow,4,1.4%
IMU;Radar_mmWave,3,1.0%
IMU;Depth_Camera;LiDAR_3D,3,1.0%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;UWB,3,1.0%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;Sonar,3,1.0%
IMU;Monocular_Camera;Optical_Flow;Sonar,3,1.0%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;UWB;Sonar,3,1.0%
IMU;Stereo_Camera;LiDAR_3D;UWB;Sonar,2,0.7%
IMU;Depth_Camera;LiDAR_2D,2,0.7%
IMU;Monocular_Camera;UWB;Sonar,2,0.7%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;UWB;Sonar,2,0.7%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;UWB;Optical_Flow;Sonar,2,0.7%
IMU;Depth_Camera,2,0.7%
IMU;Monocular_Camera;Optical_Flow,2,0.7%
IMU;Thermal_Camera;LiDAR_3D;Optical_Flow,2,0.7%
IMU;Monocular_Camera;Radar_mmWave;Sonar,2,0.7%
IMU;Thermal_Camera;LiDAR_2D;UWB,2,0.7%
IMU;Monocular_Camera;LiDAR_3D;Radar_mmWave,2,0.7%
IMU;Stereo_Camera;Radar_mmWave;Optical_Flow,2,0.7%
IMU;Monocular_Camera;LiDAR_3D;Radar_mmWave;Sonar,2,0.7%
IMU;Monocular_Camera;Radar_mmWave;UWB,2,0.7%
IMU;Monocular_Camera;LiDAR_3D;Radar_mmWave;UWB,2,0.7%
IMU;Stereo_Camera;Optical_Flow,2,0.7%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;UWB;Optical_Flow,2,0.7%
IMU;Thermal_Camera;LiDAR_3D;UWB,2,0.7%
IMU;Stereo_Camera;LiDAR_3D;Optical_Flow;Sonar,2,0.7%
IMU;Radar_mmWave;UWB,1,0.3%
Monocular_Camera,1,0.3%
IMU;UWB,1,0.3%
IMU;Stereo_Camera;Radar_mmWave;UWB;Optical_Flow;Sonar,1,0.3%
IMU;Stereo_Camera;LiDAR_3D;Radar_mmWave;Optical_Flow;Sonar,1,0.3%
IMU;Monocular_Camera;LiDAR_2D;Radar_mmWave,1,0.3%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;Sonar,1,0.3%
IMU;Thermal_Camera;LiDAR_2D,1,0.3%
IMU;Stereo_Camera;Radar_mmWave;Sonar,1,0.3%
IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave;Optical_Flow;Sonar,1,0.3%
IMU;Monocular_Camera;UWB;Optical_Flow,1,0.3%
IMU;Monocular_Camera;Radar_mmWave,1,0.3%
IMU;Depth_Camera;LiDAR_3D;Sonar,1,0.3%
IMU;Thermal_Camera;Radar_mmWave;Sonar,1,0.3%
IMU;Stereo_Camera;UWB,1,0.3%
IMU;Monocular_Camera;LiDAR_2D;Radar_mmWave;UWB;Optical_Flow,1,0.3%
IMU;Monocular_Camera;LiDAR_3D;Optical_Flow,1,0.3%
IMU;Depth_Camera;LiDAR_3D;UWB;Sonar,1,0.3%
IMU;Stereo_Camera;Sonar,1,0.3%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;UWB;Optical_Flow,1,0.3%
IMU;Monocular_Camera;LiDAR_3D;Radar_mmWave;UWB;Sonar,1,0.3%
IMU;Depth_Camera;LiDAR_3D;UWB,1,0.3%
IMU;Event_Camera;LiDAR_3D;Radar_mmWave;UWB;Sonar,1,0.3%
IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave;Sonar,1,0.3%
IMU;Monocular_Camera;Radar_mmWave;UWB;Sonar,1,0.3%
IMU;Monocular_Camera;LiDAR_3D;UWB;Optical_Flow,1,0.3%
IMU;Monocular_Camera;LiDAR_3D;Radar_mmWave;Optical_Flow;Sonar,1,0.3%
IMU;Thermal_Camera;LiDAR_3D;Radar_mmWave;Optical_Flow;Sonar,1,0.3%
IMU;Stereo_Camera;Radar_mmWave;Optical_Flow;Sonar,1,0.3%
IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave;UWB;Optical_Flow,1,0.3%
IMU;Stereo_Camera;LiDAR_3D;UWB;Optical_Flow;Sonar,1,0.3%
IMU;Monocular_Camera;Sonar,1,0.3%
IMU;Stereo_Camera;LiDAR_2D;Radar_mmWave;UWB,1,0.3%
IMU;Stereo_Camera;Radar_mmWave,1,0.3%
IMU;Monocular_Camera;LiDAR_2D;Radar_mmWave;UWB;Sonar,1,0.3%
IMU;Depth_Camera;UWB,1,0.3%
IMU;Stereo_Camera;Radar_mmWave;UWB,1,0.3%
IMU;Thermal_Camera;LiDAR_2D;Radar_mmWave;UWB,1,0.3%
IMU;LiDAR_2D,1,0.3%
