paper_id,title,authors,year,venue,doi,decision,reason,confidence,needs_human
REC_0122,Impact of Unmanned Aircraft Regulations on Autonomous Navigation Approaches for Indoor Multi-Rotor Applications — Survey,Y. K. Tay; H. Hesse,2021,,10.1109/ICCAR52225.2021.9463498,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0232,Design of an Indoor Surveying and Mapping Robot Based on SLAM Technology,Y. Ai; C. Li,2021,,10.1109/ICDSCA53499.2021.9650125,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0237,A Comprehensive Review on Sensor Fusion Techniques for Localization of a Dynamic Target in GPS-Denied Environments,S. Wang; N. S. Ahmad,2025,,10.1109/ACCESS.2024.3519874,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0242,Survey on UAV navigation in GPS denied environments,G. Balamurugan; J. Valarmathi; V. P. S. Naidu,2016,,10.1109/SCOPES.2016.7955787,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0312,The Effects of Jamming on Global Positioning System (GPS) Accuracy for Unmanned Aerial Vehicles (UAVs),N. Norhashim; N. L. Mohd Kamal; Z. Sahwee; S. A. Shah; D. Sathyamoorthy,2022,,10.1109/ICONDA56696.2022.10000335,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0411,A Survey on Odometry for Autonomous Navigation Systems,S. A. S. Mohamed; M. -H. Haghbayan; T. Westerlund; J. Heikkonen; H. Tenhunen; J. Plosila,2019,,10.1109/ACCESS.2019.2929133,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0452,A Survey of LiDAR-Based 3D SLAM in Indoor Degraded Scenarios,Y. Zou; B. Wu; X. Wan; P. Meng,2024,,10.1109/ICFTIC64248.2024.10912938,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0605,An Operational Concept for Correcting Navigation Drift During Sonar Surveys of the Seafloor,A. J. Hunter; W. A. Connors; S. Dugelay,2018,,10.1109/JOE.2017.2767798,EXCLUDE,THEORETICAL_ONLY,0.95,False
REC_0633,Survey on Algorithms and Techniques for Indoor Navigation Systems,E. J. Alqahtani; F. H. Alshamrani; H. F. Syed; F. A. Alhaidari,2018,,10.1109/NCG.2018.8593096,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_0735,Exploring Autonomous Load-Carrying Mobile Robots in Indoor Settings: A Comprehensive Review,P. Yee Leong; N. S. Ahmad,2024,,10.1109/ACCESS.2024.3435689,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_0739,A Comprehensive Review of Indoor Localization Techniques for Autonomous Robots,T. -A. Dicu; G. -C. Pătru; D. -M. Velciu; M. Ţurcanu,2025,,10.1109/RoEduNet68395.2025.11208420,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_0772,A Survey on Multi-robot Particle Filter SLAM,R. U. Gupta; J. M. Conrad,2019,,10.1109/SoutheastCon42311.2019.9020415,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_0826,Aperture-Coupled Patch Antennas for UWB Indoor Localization Systems in the 4 and 6 GHz Bands,S. Marti; H. Diethelm; H. Mathis; H. -D. Lang,2022,,10.1109/AP-S/USNC-URSI47032.2022.9887092,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_0875,A Proposed Framework for UAS Positioning in GPS-Denied and GPS-Spoofed Environments,J. L. Burbank; L. Foust; T. Greene; N. Kaabouch,2024,,10.1109/ICNS60906.2024.10550601,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_1006,A comprehensive survey on autonomous UAV navigation and control systems,Izakshiri A.; Tajrishi N.J.; Madinei H.S.; Azad P.A.; Ahmadi S.,2026,,10.1007/s40435-026-02068-3,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_1025,A Survey on Radio Frequency based Precise Localisation Technology for UAV in GPS-denied Environment,Yang B.; Yang E.,2021,,10.1007/s10846-021-01500-4,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_1030,Towards an UAV Visual Navigation System Based on Map Processing and Spatial Matching Techniques: A Literature Review,Ramanauskas E.; Jodłowiec M.; Krótkiewicz M.,2025,,10.1007/978-981-96-6005-6_10,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
