paper_id,status,issues,pdf_exists,pdf_bytes,pdf_pages_actual,pdf_pages_csv,pages_match,text_chars,text_tokens,nonascii_ratio,shorttok_ratio,text_status,missing_fields,qa_consistent,qa_sum,qa_total_csv,fulltext_consistent
REC_0001,PASS,,True,688319,4,4,True,19845,2583,0.0261,0.1301,PASS,,True,1,1,True
REC_0003,PASS,,True,5587871,5,5,True,21196,3219,0.0022,0.1678,PASS,,True,7,7,True
REC_0006,PASS,,True,1196810,4,4,True,16644,2317,0.0034,0.1489,PASS,,True,9,9,True
REC_0008,PASS,,True,4606914,7,7,True,27538,4760,0.0057,0.2884,PASS,,True,5,5,True
REC_0010,PASS,,True,2169203,6,6,True,26171,3975,0.0028,0.1877,PASS,,True,3,3,True
REC_0013,PASS,,True,4596468,6,6,True,28027,4100,0.0003,0.1676,PASS,,True,4,4,True
REC_0017,PASS,,True,888683,6,6,True,26312,4171,0.0051,0.2019,PASS,,True,2,2,True
REC_0022,PASS,,True,2780463,6,6,True,23607,3892,0.007,0.2274,PASS,,True,4,4,True
REC_0023,PASS,,True,440558,9,9,True,41612,6607,0.006,0.2378,PASS,,True,6,6,True
REC_0025,PASS,,True,11773197,7,7,True,30113,4831,0.0076,0.2254,PASS,,True,4,4,True
REC_0028,PASS,,True,3636408,16,16,True,81158,13022,0.0112,0.2164,PASS,,True,5,5,True
REC_0035,PASS,,True,5938779,6,6,True,26578,4277,0.0105,0.2368,PASS,,True,6,6,True
REC_0037,PASS,,True,7739018,4,4,True,20123,2608,0.0747,0.12,PASS,,True,4,4,True
REC_0041,PASS,,True,3325469,15,15,True,62560,9728,0.006,0.2,PASS,,True,9,9,True
REC_0043,PASS,,True,675656,6,6,True,27106,3897,0.0092,0.1878,PASS,,True,5,5,True
REC_0053,PASS,,True,3643473,22,22,True,54190,7767,0.0012,0.1742,PASS,,True,8,8,True
REC_0057,PASS,,True,808059,6,6,True,25428,3910,0.0046,0.1775,PASS,,True,4,4,True
REC_0064,PASS,,True,2654659,15,15,True,87767,13854,0.0153,0.2572,PASS,,True,5,5,True
REC_0065,PASS,,True,2746981,6,6,True,30401,4602,0.0034,0.1867,PASS,,True,7,7,True
REC_0066,PASS,,True,981127,6,6,True,27427,4103,0.005,0.1723,PASS,,True,4,4,True
REC_0071,PASS,,True,2789483,4,4,True,20808,3424,0.0092,0.2731,PASS,,True,5,5,True
REC_0077,PASS,,True,1145052,8,8,True,41367,5721,0.0246,0.1743,PASS,,True,7,7,True
REC_0080,PASS,,True,941371,6,6,True,28390,4389,0.0031,0.1948,PASS,,True,4,4,True
REC_0084,PASS,,True,1056965,10,10,True,42422,6613,0.0049,0.2019,PASS,,True,5,5,True
REC_0095,PASS,,True,3732122,18,18,True,92052,14562,0.0101,0.211,PASS,,True,6,6,True
REC_0096,PASS,,True,948005,5,5,True,27542,4157,0.0056,0.1684,PASS,,True,8,8,True
REC_0102,PASS,,True,1256408,6,6,True,29520,4169,0.0058,0.1413,PASS,,True,9,9,True
REC_0107,PASS,,True,1231390,5,5,True,21737,3161,0.0067,0.1737,PASS,,True,4,4,True
REC_0111,PASS,,True,1421507,5,5,True,26066,4261,0.0224,0.2401,PASS,,True,7,7,True
REC_0115,PASS,,True,750653,5,5,True,23483,1445,0.0058,0.083,PASS,,True,0,0,True
REC_0118,PASS,,True,299647,6,6,True,28650,4551,0.0061,0.2017,PASS,,True,6,6,True
REC_0123,PASS,,True,1122705,6,6,True,24274,3535,0.0049,0.1836,PASS,,True,6,6,True
REC_0131,PASS,,True,2500295,4,4,True,24157,3366,0.006,0.1435,PASS,,True,6,6,True
REC_0138,PASS,,True,6070386,12,12,True,62156,9585,0.0056,0.1918,PASS,,True,6,6,True
REC_0149,PASS,,True,5932868,6,6,True,25606,3787,0.0056,0.1629,PASS,,True,6,6,True
REC_0155,PASS,,True,1311630,10,10,True,48139,7685,0.0054,0.1991,PASS,,True,9,9,True
REC_0161,PASS,,True,7148479,6,6,True,30268,4614,0.0035,0.179,PASS,,True,8,8,True
REC_0165,PASS,,True,1915184,2,2,True,9360,1299,0.002,0.144,PASS,,True,7,7,True
REC_0179,PASS,,True,4141447,5,5,True,20371,3030,0.0016,0.1977,PASS,,True,4,4,True
REC_0195,PASS,,True,871710,9,9,True,44299,6255,0.0017,0.1722,PASS,,True,6,6,True
REC_0196,PASS,,True,11391112,6,6,True,25397,4248,0.0097,0.2326,PASS,,True,6,6,True
REC_0202,PASS,,True,1307676,4,4,True,16956,2610,0.0002,0.208,PASS,,True,3,3,True
REC_0208,PASS,,True,3521694,10,10,True,43689,6829,0.007,0.1895,PASS,,True,4,4,True
REC_0211,PASS,,True,2137693,12,12,True,61998,9138,0.0097,0.1759,PASS,,True,8,8,True
REC_0213,PASS,,True,2413513,9,9,True,46690,7611,0.0085,0.2219,PASS,,True,6,6,True
REC_0215,PASS,,True,3461024,6,6,True,25456,4035,0.0098,0.2099,PASS,,True,6,6,True
REC_0218,PASS,,True,1171552,10,10,True,51146,8092,0.0157,0.2283,PASS,,True,8,8,True
REC_0239,PASS,,True,1512109,5,5,True,22281,3784,0.022,0.2886,PASS,,True,7,7,True
REC_0246,PASS,,True,2327191,8,8,True,28476,4433,0.0018,0.192,PASS,,True,6,6,True
REC_0255,PASS,,True,1529255,6,6,True,23255,3617,0.0032,0.1952,PASS,,True,7,7,True
REC_0264,PASS,,True,3508969,10,10,True,46872,7729,0.0036,0.246,PASS,,True,6,6,True
REC_0271,PASS,,True,1576785,5,5,True,26757,3969,0.0096,0.1784,PASS,,True,7,7,True
