id,raw_score,scrambled,best_shift,best_shift_score
REC_0001,0.6945,False,0,0.6945
REC_0003,0.6647,False,0,0.6647
REC_0006,0.6982,False,0,0.6982
REC_0008,0.7003,False,0,0.7003
REC_0010,0.7214,False,0,0.7214
REC_0013,0.6767,False,0,0.6767
REC_0017,0.655,False,0,0.655
REC_0022,0.7014,False,0,0.7014
REC_0023,0.7701,False,0,0.7701
REC_0025,0.6431,False,0,0.6431
REC_0028,0.6993,False,0,0.6993
REC_0035,0.6968,False,0,0.6968
REC_0037,0.5127,False,0,0.5127
REC_0041,0.7156,False,0,0.7156
REC_0043,0.7583,False,0,0.7583
REC_0053,0.7395,False,0,0.7395
REC_0057,0.7347,False,0,0.7347
REC_0064,0.7339,False,0,0.7339
REC_0065,0.7478,False,0,0.7478
REC_0066,0.7312,False,0,0.7312
REC_0071,0.6934,False,0,0.6934
REC_0077,0.7297,False,0,0.7297
REC_0080,0.7264,False,0,0.7264
REC_0084,0.7345,False,0,0.7345
REC_0095,0.6795,False,0,0.6795
REC_0096,0.6998,False,0,0.6998
REC_0102,0.6501,False,0,0.6501
REC_0107,0.7331,False,0,0.7331
REC_0111,0.7304,False,0,0.7304
REC_0115,0.0507,True,29,0.4182
REC_0118,0.7601,False,0,0.7601
REC_0123,0.7263,False,0,0.7263
REC_0131,0.6907,False,0,0.6907
REC_0138,0.6829,False,0,0.6829
REC_0149,0.6956,False,0,0.6956
REC_0155,0.7395,False,0,0.7395
REC_0161,0.7262,False,0,0.7262
REC_0165,0.5836,False,0,0.5836
REC_0179,0.7687,False,0,0.7687
REC_0195,0.6907,False,0,0.6907
REC_0196,0.6954,False,0,0.6954
REC_0202,0.739,False,0,0.739
REC_0208,0.7381,False,0,0.7381
REC_0211,0.6845,False,0,0.6845
REC_0213,0.7111,False,0,0.7111
REC_0215,0.6658,False,0,0.6658
REC_0218,0.6933,False,0,0.6933
REC_0239,0.6806,False,0,0.6806
REC_0246,0.7043,False,0,0.7043
REC_0255,0.7278,False,0,0.7278
REC_0264,0.7204,False,0,0.7204
REC_0271,0.769,False,0,0.769
REC_0274,0.7361,False,0,0.7361
REC_0278,0.7201,False,0,0.7201
REC_0281,0.7384,False,0,0.7384
REC_0289,0.7108,False,0,0.7108
REC_0294,0.695,False,0,0.695
REC_0296,0.7138,False,0,0.7138
REC_0305,0.7024,False,0,0.7024
REC_0318,0.747,False,0,0.747
REC_0332,0.7283,False,0,0.7283
REC_0343,0.7028,False,0,0.7028
REC_0345,0.7616,False,0,0.7616
REC_0346,0.6538,False,0,0.6538
REC_0363,0.7406,False,0,0.7406
REC_0369,0.7208,False,0,0.7208
REC_0388,0.6811,False,0,0.6811
REC_0391,0.7392,False,0,0.7392
