year,Deep_Learning_Odometry,Filter_Based_VIO,Hybrid_Classical_Learning,LiDAR_SLAM,Map_Based_Localization,Multi_Agent_Collaborative_SLAM,Optimization_Based_VIO,Radio_Based_Positioning,Visual_LiDAR_Inertial_Fusion,Visual_SLAM
2010,0,0,6,0,0,0,0,11,0,0
2011,0,2,5,1,0,0,0,7,0,0
2012,1,4,6,2,0,0,0,14,0,0
2013,0,7,7,0,0,0,0,21,0,1
2014,0,2,10,0,0,0,0,32,0,2
2015,0,5,15,2,0,2,0,23,0,2
2016,0,2,15,0,0,0,1,35,0,0
2017,0,2,8,5,0,0,0,33,0,2
2018,0,4,15,2,0,0,3,55,1,8
2019,4,10,12,7,0,1,1,53,3,6
2020,3,12,16,12,1,1,2,50,2,4
2021,2,10,15,11,0,2,1,53,1,3
2022,0,10,12,12,0,0,5,74,6,6
2023,2,10,18,12,0,5,10,92,1,4
2024,1,10,27,15,0,2,3,120,6,8
2025,7,27,33,42,0,8,7,187,14,12
2026,5,17,11,23,0,5,14,115,11,12
