method_category,total_papers,real_world_count,simulation_count,both_count,real_sim_ratio,ratio_numeric
Radio_Based_Positioning,975,728,220,27,728:220,3.31
Hybrid_Classical_Learning,231,164,64,3,164:64,2.56
LiDAR_SLAM,146,125,17,4,125:17,7.35
Filter_Based_VIO,134,105,24,5,105:24,4.38
Visual_SLAM,70,57,10,3,57:10,5.7
Optimization_Based_VIO,47,32,11,4,32:11,2.91
Visual_LiDAR_Inertial_Fusion,45,36,8,1,36:8,4.5
Multi_Agent_Collaborative_SLAM,26,14,11,1,14:11,1.27
Deep_Learning_Odometry,25,21,4,0,21:4,5.25
Map_Based_Localization,1,0,1,0,0:1,0.0
