Method,Total,Q-high/Q-medium,Real-World,Simulation,Both,Real:Sim,ATE Papers (m),ATE Median,ATE Min,ATE Max
Radio/Infrastructure (UWB/WiFi/5G),975,pending,728,220,27,3.3:1,112,5.000 m,0.011 m,200.000 m
Hybrid Classical-DL,231,pending,164,64,3,2.6:1,21,3.000 m,0.024 m,200.000 m
LiDAR SLAM (LOAM/FAST-LIO2/LIO-SAM),146,pending,125,17,4,7.4:1,19,0.890 m,0.010 m,100.000 m
Filter-Based VIO (MSCKF/EKF),134,pending,105,24,5,4.4:1,13,2.000 m,0.089 m,15.000 m
Visual SLAM,70,pending,57,10,3,5.7:1,5,0.290 m,0.052 m,5.360 m
Optimization-Based VIO (OKVIS/VINS-Mono/ORB-SLAM3),47,pending,32,11,4,2.9:1,5,0.800 m,0.500 m,150.000 m
Visual-LiDAR-Inertial Fusion (VLI),45,pending,36,8,1,4.5:1,11,2.600 m,0.050 m,10.000 m
Multi-Agent Collaborative SLAM,26,pending,14,11,1,1.3:1,3,8.000 m,0.540 m,48.200 m
Deep Learning Odometry,25,pending,21,4,0,5.2:1,2,N/A,N/A,N/A
Map-Based Localization,1,pending,0,1,0,0.0:1,0,N/A,N/A,N/A
