id,done_flag,pdf_on_disk,in_master,status,title,doi
REC_1035,N,N,N,Truly_pending,An improved selective correction adaptive particle filter-based cooperative navigation algorithm for UAV swarms in GNSS-denied areas,10.1088/1361-6501/ae65bc
REC_1051,N,N,N,Truly_pending,Autonomous vision-based UAV localization and optimization-based path planning in GPS-denied environments: a review,10.1088/2631-8695/ae305b
REC_1092,N,N,N,Truly_pending,Efficient SLAM Algorithm Based on Quaternions for Real-Time Navigation of Unmanned Aerial Vehicles,10.1002/ett.70386
REC_1099,N,N,N,Truly_pending,Machine Learning-Based UAV Localization for Under-Structure Sensor Deployment in GPS-Denied Environments,10.1117/12.3089966
REC_1124,N,N,N,Truly_pending,Real-Time Elevation and Orientation-Aware Visual Localization for GNSS-Denied Drone Navigation,10.3390/drones10060445
REC_1131,N,N,N,Truly_pending,Enhancing UAV Autonomy and Path Optimization Through SBAS and Visual-Inertial Odometry; [Mejora de la autonomía de UAV y optimización de trayectorias mediante odometría visual–inercial integrada con SBAS],10.15446/ing.investig.119122
REC_1134,N,N,N,Truly_pending,A Decision-Making Framework for Autonomous Aerial Vehicles in Responding to GPS Loss,10.2514/6.2026-1992
REC_1143,N,N,N,Truly_pending,Multi-Robot Cooperative 3D Frontier Exploration Using Stereo Camera Based Mapping in GPS-Denied Environments,10.2514/6.2026-0859
REC_1149,N,N,N,Truly_pending,Simultaneous Localization and Mapping using Sensor Fusion for UAV Navigation in GPS-Denied Environments,10.2514/6.2026-0855
REC_1164,N,N,N,Truly_pending,Lightweight and accurate infrared rangefinder-fused LiDAR-inertial localization for UAV-based bridge inspection in GPS-denied environments,10.1016/j.measurement.2025.118983
REC_1165,N,N,N,Truly_pending,UAV Localization in GPS-Denied Environments: A Review,10.1109/TSMC.2026.3708505
REC_1185,N,N,N,Truly_pending,UAV swarm distributed cooperative localization in GNSS-denied environments: an ICMC and ACPM Fusion approach,10.1016/j.adhoc.2026.104363
REC_1216,N,N,N,Truly_pending,A Two-Stage Residual Extended Kalman Filter using Extreme Gradient Boosting and Kolmogorov–Arnold Networks for terrain-aided Unmanned Aerial Vehicle Localization in Global Navigation Satellite System-denied environments,10.1016/j.engappai.2026.114430
REC_1243,N,N,N,Truly_pending,Adaptive Formation Control of UAVs near Structures for Robust Localization and Efficient Task Execution,10.20965/jrm.2026.p0907
REC_1248,N,N,N,Truly_pending,Gradient perception approach: Mapless INS/geomagnetic combined navigation in GPS-denied environments,10.1016/j.measurement.2026.122761
REC_1281,N,N,N,Truly_pending,Learning to Navigate and Track: A Decentralized RL Framework for UAV Operations in GNSS-Denied Terrain,10.1007/978-3-032-11402-0_23
REC_1341,N,N,N,Truly_pending,Consensus and Quantum Particle Swarm Optimization-Based Cooperative Navigation Method,10.1007/978-981-95-3025-0_38
REC_1365,N,N,N,Truly_pending,Coordination and Planning Algorithms for a UAS Fleet in GPS-Denied Environments,10.2514/6.2026-1091
REC_1412,N,N,N,Truly_pending,Collision Avoidance for a Hexacopter Using Deep Learning and IMU in a GPS-Denied Environment,10.1007/s12555-026-00052-3
REC_1452,N,N,N,Truly_pending,Monocular Vision-Based Navigation for UAVs in Dynamic Environments,10.2514/6.2026-1960
REC_0997,N,N,N,Truly_pending,Autonomous Flight for Multi-UAV in GPS-Denied Environment,10.1007/978-981-19-3998-3_85
REC_1147,N,N,N,Truly_pending,LiDAR-Based High-Precision Mapping and GNSS-Denied Localiztion for UAV,10.1007/978-981-99-0479-2_275
REC_1155,N,N,N,Truly_pending,Relative Navigation of UAV Swarm in a GPS Denied Environment1,10.1117/12.2664917
REC_1188,N,N,N,Truly_pending,GPS-Denied State Estimation for Blue/NDAA Unmanned Multi-Rotor Vehicles,10.2514/6.2023-2666
