priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes
1,REC_0001,REC_0001.pdf,BIM-Assisted UAV Topological Localization and Navigation Method for GPS-Denied Indoor Environments,2026,IEEE_Xplore,10.1109/ICCIR70228.2026.11633308,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FICCIR70228.2026.11633308,https://doi.org/10.1109/ICCIR70228.2026.11633308,https://scholar.google.com/scholar?q=BIM-Assisted+UAV+Topological+Localization+and+Navigation+Method+for+GPS-Denied+Indoor+Environments,Y,
2,REC_0003,REC_0003.pdf,Autonomous Navigation in GPS-Denied Environments Using Visual SLAM,2026,IEEE_Xplore,10.1109/ICTP67998.2026.11485150,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FICTP67998.2026.11485150,https://doi.org/10.1109/ICTP67998.2026.11485150,https://scholar.google.com/scholar?q=Autonomous+Navigation+in+GPS-Denied+Environments+Using+Visual+SLAM,Y,
3,REC_0006,REC_0006.pdf,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded Environments,2026,IEEE_Xplore,10.1109/APSCON68325.2026.11497125,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FAPSCON68325.2026.11497125,https://doi.org/10.1109/APSCON68325.2026.11497125,https://scholar.google.com/scholar?q=A+Multi-Sensor+Fusion+Framework+for+Unmanned+Aerial+Vehicle+%28UAV%29+Navigation+and+Inspection+in+GPS-Denied+and+Degraded+Environments,Y,
4,REC_0013,REC_0013.pdf,Quantum-Enhanced Drone Swarm Localization in GPS-Denied Environment,2026,IEEE_Xplore,10.1109/ICoECIT68303.2026.11497954,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FICoECIT68303.2026.11497954,https://doi.org/10.1109/ICoECIT68303.2026.11497954,https://scholar.google.com/scholar?q=Quantum-Enhanced+Drone+Swarm+Localization+in+GPS-Denied+Environment,Y,
5,REC_0037,REC_0037.pdf,Deep Visual Localization for UAVs in GNSS-Denied Environments Using Satellite Imagery,2026,IEEE_Xplore,10.1109/SIU71813.2026.11636724,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FSIU71813.2026.11636724,https://doi.org/10.1109/SIU71813.2026.11636724,https://scholar.google.com/scholar?q=Deep+Visual+Localization+for+UAVs+in+GNSS-Denied+Environments+Using+Satellite+Imagery,Y,
6,REC_0077,REC_0077.pdf,3D Path Planning for Autonomous UAV Navigation in GPS-Denied Environments,2026,IEEE_Xplore,10.1109/ICUAS69441.2026.11598675,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FICUAS69441.2026.11598675,https://doi.org/10.1109/ICUAS69441.2026.11598675,https://scholar.google.com/scholar?q=3D+Path+Planning+for+Autonomous+UAV+Navigation+in+GPS-Denied+Environments,Y,
7,REC_0102,REC_0102.pdf,Quantum-Enhanced Multi-Sensor Fusion for UAV Navigation in GPS-Denied Environments,2026,IEEE_Xplore,10.1109/FET68771.2026.11601505,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FFET68771.2026.11601505,https://doi.org/10.1109/FET68771.2026.11601505,https://scholar.google.com/scholar?q=Quantum-Enhanced+Multi-Sensor+Fusion+for+UAV+Navigation+in+GPS-Denied+Environments,Y,
8,REC_0131,REC_0131.pdf,Digital Twin for Drone Indoor Autonomous Navigation,2026,IEEE_Xplore,10.1109/LSENS.2025.3642424,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FLSENS.2025.3642424,https://doi.org/10.1109/LSENS.2025.3642424,https://scholar.google.com/scholar?q=Digital+Twin+for+Drone+Indoor+Autonomous+Navigation,Y,
9,REC_0149,REC_0149.pdf,Vision-Based Global Localization for UAVs Using Deep Convolutional Neural Networks,2026,IEEE_Xplore,10.1109/IPCS69631.2026.11604264,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FIPCS69631.2026.11604264,https://doi.org/10.1109/IPCS69631.2026.11604264,https://scholar.google.com/scholar?q=Vision-Based+Global+Localization+for+UAVs+Using+Deep+Convolutional+Neural+Networks,Y,
10,REC_0165,REC_0165.pdf,UAV Cross-View Image Retrieval and Visual Geo-Localization in GNSS-Denied Environments,2026,IEEE_Xplore,10.1109/ICCE-Taiwan71481.2026.11652687,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FICCE-Taiwan71481.2026.11652687,https://doi.org/10.1109/ICCE-Taiwan71481.2026.11652687,https://scholar.google.com/scholar?q=UAV+Cross-View+Image+Retrieval+and+Visual+Geo-Localization+in+GNSS-Denied+Environments,Y,
