paper_number,title,year,experiment_type,appraiser1_real_robot,appraiser1_ground_truth,appraiser1_repeatability,appraiser1_absolute_and_relative_error,appraiser1_trajectory_duration_scale,appraiser1_failure_or_ablation,appraiser1_established_baseline,appraiser1_matched_baseline,appraiser1_released_code_data_detail,appraiser2_real_robot,appraiser2_ground_truth,appraiser2_repeatability,appraiser2_absolute_and_relative_error,appraiser2_trajectory_duration_scale,appraiser2_failure_or_ablation,appraiser2_established_baseline,appraiser2_matched_baseline,appraiser2_released_code_data_detail,consensus_rigor,consensus_reporting,consensus_baseline,consensus_repro,consensus_notes
11,Visual Odometry/Inertial Integration for Enhanced Land Vehicle Navigation in GNSS Denied Environment,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
17,Development of Nano UAV Platform for Navigation in GPS-Denied Environment Using Snapdragon,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
32,Autonomous Navigation Systems in GPS-Denied Environments: A Review of Techniques and Applications,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
35,State Estimation and Control for Micro Aerial Vehicles in GPS-denied Environments,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
36,Artificial Intelligence-Driven Innovations in SLAM for Robotics and Autonomous Navigation,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
38,Autonomous Aerial–Ground Cooperative Navigation Based on Information-Seeking in GNSS-Denied Environments,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
47,Sensor Fusion for Octagon – an Indoor and Outdoor Autonomous Mobile Robot,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
53,Vision-based Navigation of Unmanned Aerial Vehicles,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
56,Stable Cycles for Underwater Navigation,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
63,"Enhanced V-SLAM combining SVO and ORB-SLAM2, with reduced computational complexity, to improve autonomous indoor mini-drone navigation under varying conditions",2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
64,Positioning and Navigation Approaches Using Packet Loss-Based Multilateration for UAVs in GPS-Denied Environments,2024,Simulation,,,,,,,,,,,,,,,,,,,,,,,
67,Submap-Based Indoor Navigation System for the Fetch Robot,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
89,Exploring Deep Learning-Based Visual Localization Techniques for UAVs in GPS-Denied Environments,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
90,SkyAid: A Low-Cost Autonomous Hexacopter for Resilient Medical Supply Delivery in GPS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
96,Cooperative UWB-Based Localization for Outdoors Positioning and Navigation of UAVs aided by Ground Robots,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
107,Augmented Radar Odometry by Nested Optimal Filter Aided Navigation for UAVS in GNSS Denied Environment,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
110,GPS-Denied Autonomous Navigation: A Sensor Fusion and Real-Time Image Processing Approach,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
118,A Vision-Aided Navigation System by Ground-Aerial Vehicle Cooperation for UAV in GNSS-Denied Environments,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
122,Impact of Unmanned Aircraft Regulations on Autonomous Navigation Approaches for Indoor Multi-Rotor Applications — Survey,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
125,Autonomous Cross-Floor Navigation System for a ROS-Based Modular Service Robot,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
