original,rec_id,status,sha256,matched_by
1-s2.0-S003132032601486X-main.pdf,REC_1115,renamed+moved,f6eb775eb55521ed5b2b0eab32eb44066b3d288af567655621bbb6b1f4eca4d7,doi
1-s2.0-S0926580523000134-main.pdf,REC_1502,renamed+moved,9cc2e5e34f31e79a72b77bdde6ac6ccd543ab6353cccc96492e3a86b894821de,doi
1-s2.0-S2214209625001135-main.pdf,REC_1439,renamed+moved,ef857dba00e917dfa89f02dab44fce1a52ea19429dc8d2f87c6592a25db407df,doi
3D_motion_planning_for_UAVs_in_GPS-denied_unknown_forest_environment.pdf,REC_1438,renamed+moved,ac50df7214e977f893fb16f0f7ebcab3031d6f61013a97e13d54cba876b4df12,title-sim-0.61
A_Novel_Scene-Matching_Positioning_Approach_for_Low-Altitude_UAVs_Considering_Elevation_Differences_in_Satellite_Images.pdf,REC_1123,renamed+moved,a7e01cffc6fa54fe2af98a14e926f7e83dfa7c492e667dfd9609e39e4fcd2974,doi
A_robust_real-time_vision_based_GPS-denied_navigation_system_of_UAV.pdf,REC_1423,renamed+moved,fe10dfe803cf7470229325cd995ec62f138589d226a9fd777d0d3125fb8687c0,title-sim-0.59
Adaptive_Texture-Aware_Pixel_Selection_for_Robust_Direct_Visual_Odometry_in_UAV_Navigation.pdf,REC_1399,renamed+moved,4ca2c308ac96ac985f481ba88aff0e69cb50500ce82d2ce4a4a7e77800c313c4,doi
Advancing_Autonomous_UAV_Target_Localization_in_GPS-Denied_Environments.pdf,REC_1431,renamed+moved,a4a215c0029937bafaaddf3d01936e0d026e6f61acd6b8a98330788f2932ac81,doi
An_integrated_UAV_navigation_system_based_on_geo-registered_3D_point_cloud.pdf,REC_1002,renamed+moved,e1338946823fbcc0a9aa1c0b2aa92337f5faa77c3a75f3c3e538e749c8b8be4d,title-sim-0.64
matiki-et-al-2025-digital-twin-approach-for-drift-free-uav-localization-in-gps-denied-environments.pdf,REC_1295,renamed+moved,4fcb42a96215f5ee071fa7aa72bcb9398ed947ed5fc1b0375dd69f1f856a5d19,doi
Robust_UAVSatellite_Imagery_Alignment_via_Cross-Domain_Descriptor_Learning_and_Homography_Optimization.pdf,REC_1474,renamed+moved,50b35a4446787aabb4636c4a6a861b86de1cffb03ffa15fe31cc27a3dc879680,doi
1-s2.0-S0263224122000975-main.pdf,REC_1370,renamed+moved,853aade62de3677e8e7b7cb77c3a200efed848e1dc3c28083049c8dc7b2131f4,doi
A_Novel_Scene_Matching_Algorithm_via_Deep_Learning_for_Vision-based_UAV_Absolute_Localization.pdf,REC_1653,renamed+moved,be009666c31dc6572ad346ec193bebc666d81a13d083339952a25eb4488d2ddb,doi
aeat-01-2017-0029.pdf,REC_1403,renamed+moved,4099c6354631809359cd6ccf4856614f4255075655c8d904d9ed2654535eccaa,doi
Aerial-Ground_Robots_Collaborative_3D_Mapping_in_GNSS-Denied_Environments.pdf,REC_1178,renamed+moved,619b81e87976b44fd0741058e32a505e73877811ab59d46e4a0b0c63722b18e3,doi
An_Autonomously_Navigation_System_for_Forestry_Quadrotor_within_GPS-denied_Below-canopy_Environment.pdf,REC_1055,renamed+moved,ee314d2dad62de0dbcfd374d8eb141bbec00ef07b00cde6b61d633126b3bb37c,title-in-page1
Autonomous dynamic docking of UAV based on UWB-vision in GPS-denied environment.pdf,REC_1576,renamed+moved,9a582fe09947d8f0ee33df40e06fb26721f8dbddf65099ef23b95c535a72e75e,doi
GPS-Denied_UAV_Localization_using_Pre-existing_Satellite_Imagery.pdf,REC_1021,renamed+moved,a3516ec40a386d0b18bec2e966e0850d2d31aa19a6b2195b77f206a52d6beb97,title-sim-0.64+surname
Model-Based_Cooperative_Navigation_for_a_Group_of_Flying_Robots.pdf,REC_1557,renamed+moved,8ab1fd03b7861d71b95e24485f07afd29de99f05bd03db90112073d00211379f,doi
Visual_Inertial_Navigation_for_a_Small_UAV_Using_Sparse_and_Dense_Optical_Flow.pdf,REC_1063,renamed+moved,5deaf3b5fe8a453d8649e9409e85f65eb40155ebdeb5b2da71243e1ca21533ce,title-sim-0.68+surname
ssrn-5598844 (1).pdf,REC_1453,duplicate-removed (duplicate),0de79ca5e49e50833f616deedba493771455c2dbef687c8add9a5971521cf10d,title-in-page1
ssrn-5598844.pdf,REC_1453,duplicate-removed (duplicate),0de79ca5e49e50833f616deedba493771455c2dbef687c8add9a5971521cf10d,title-in-page1
1-s2.0-S026322412602470X-main.pdf,REC_1248,renamed+moved,d9bdbff9903cb870313504a67ad2c3d1b7fff12f84a01b30ec43a1082925c335,doi
1-s2.0-S0952197626007116-main.pdf,REC_1216,renamed+moved,6e81b62bb60937a4ff419a2129120bb4ff469bea141324eb22129c1b4e89fee0,doi
1-s2.0-S1570870526002295-main.pdf,REC_1185,renamed+moved,cc4ebe6b8bde56e67c485cf5dba4e722142bf03b855a0445a77e21d7aab668d1,doi
UAV_Localization_in_GPS-Denied_Environments_A_Review.pdf,REC_1165,renamed+moved,017a4ee307bf63396a18e71d90e95ceeb0d91e635172c3da5d1e96ee397f5e11,doi
